Batch Index,Time
398,0.011938
399,0.011873
400,0.011827
401,0.011965
402,0.011823
403,0.011832
404,0.01187
405,0.011936
406,0.011955
407,0.011894
408,0.01205
409,0.021023
410,0.011943
411,0.011994
412,0.011981
413,0.011989
414,0.011988
415,0.014537
416,0.011971
417,0.011994
418,0.011934
419,0.01199
420,0.013747
421,0.011888
422,0.011853
423,0.011959
424,0.011851
425,0.011987
426,0.012306
427,0.011965
428,0.011948
429,0.011982
430,0.011945
431,0.011913
432,0.011925
433,0.011958
434,0.011942
435,0.011967
436,0.011986
437,0.011907
438,0.012028
439,0.013558
440,0.011957
441,0.021308
442,0.011979
443,0.011906
444,0.011938
445,0.011966
446,0.011878
447,0.011928
448,0.011923
449,0.011874
450,0.011839
451,0.011886
452,0.011966
453,0.011935
454,0.011985
455,0.012024
456,0.011894
457,0.011994
458,0.012253
459,0.012092
460,0.011914
461,0.013778
462,0.011921
463,0.012014
464,0.012067
465,0.011912
466,0.012021
467,0.012023
468,0.01199
469,0.011909
470,0.01202
471,0.012069
472,0.011895
473,0.012028
474,0.011977
475,0.023087
476,0.013607
477,0.011984
478,0.011866
479,0.011954
480,0.011866
481,0.011913
482,0.011924
483,0.01198
484,0.012048
485,0.011832
486,0.011959
487,0.011925
488,0.011872
489,0.011915
490,0.014449
491,0.011937
492,0.012006
493,0.013328
494,0.011937
495,0.011942
496,0.011863
497,0.011951
498,0.013551
499,0.011883
500,0.01189
501,0.011906
502,0.011873
503,0.011881
504,0.011977
505,0.011828
506,0.012009
507,0.011998
508,0.01192
509,0.011985
510,0.011998
511,0.012011
512,0.011871
513,0.011904
514,0.011926
515,0.012021
516,0.011958
517,0.01195
518,0.011969
519,0.011853
520,0.011884
521,0.011903
522,0.011778
523,0.012066
524,0.011969
525,0.011923
526,0.012046
527,0.012028
528,0.012027
529,0.013993
530,0.013824
531,0.011989
532,0.01196
533,0.011999
534,0.011985
535,0.011954
536,0.012032
537,0.011903
538,0.011895
539,0.01189
540,0.011876
541,0.012339
542,0.011928
543,0.011895
544,0.011919
545,0.011883
546,0.011902
547,0.01188
548,0.011982
549,0.011893
550,0.011879
551,0.012006
552,0.012046
553,0.011973
554,0.012012
555,0.013604
556,0.011934
557,0.011936
558,0.01193
559,0.011965
560,0.011913
561,0.011947
562,0.011965
563,0.011868
564,0.011919
565,0.011976
566,0.011829
567,0.012053
568,0.01196
569,0.011949
570,0.013952
571,0.011922
572,0.011892
573,0.011964
574,0.011956
575,0.011902
576,0.011887
577,0.011916
578,0.01189
579,0.011819
580,0.01196
581,0.011993
582,0.011959
583,0.011931
584,0.012003
585,0.011934
586,0.01205
587,0.012039
588,0.012037
589,0.011896
590,0.013563
591,0.01366
592,0.011928
593,0.011859
594,0.011995
595,0.011987
596,0.011989
597,0.011951
