Batch Index,inference(ms),cuda_graph(ms),diff,inference sum,cuda graph sum
81,0.012051,0.01195,0.000101,1.1459330000000003,1.1522399999999995
82,0.014304,0.014114,0.00019,1.1602370000000004,1.1663539999999994
83,0.011994,0.011916,7.8e-05,1.1722310000000005,1.1782699999999995
84,0.011988,0.011848,0.00014,1.1842190000000006,1.1901179999999996
85,0.01192,0.011883,3.7e-05,1.1961390000000005,1.2020009999999997
86,0.012088,0.0119,0.000188,1.2082270000000006,1.2139009999999997
87,0.013041,0.011829,0.001212,1.2212680000000007,1.2257299999999998
88,0.012024,0.011883,0.000141,1.2332920000000007,1.2376129999999999
89,0.011984,0.011725,0.000259,1.2452760000000007,1.2493379999999998
90,0.011948,0.01188,6.8e-05,1.2572240000000008,1.2612179999999997
91,0.011857,0.011862,-5e-06,1.2690810000000008,1.2730799999999998
92,0.012001,0.011884,0.000117,1.2810820000000007,1.2849639999999998
93,0.011954,0.011905,4.9e-05,1.2930360000000007,1.2968689999999998
94,0.011933,0.011742,0.000191,1.3049690000000007,1.3086109999999997
95,0.011961,0.011812,0.000149,1.3169300000000006,1.3204229999999997
96,0.011935,0.011905,3e-05,1.3288650000000006,1.3323279999999997
97,0.01198,0.011874,0.000106,1.3408450000000007,1.3442019999999997
98,0.011917,0.011952,-3.5e-05,1.3527620000000007,1.3561539999999996
99,0.012055,0.011942,0.000113,1.3648170000000006,1.3680959999999995
100,0.012023,0.011901,0.000122,1.3768400000000005,1.3799969999999995
101,0.011894,0.011901,-7e-06,1.3887340000000006,1.3918979999999994
102,0.011913,0.011891,2.2e-05,1.4006470000000006,1.4037889999999995
103,0.012019,0.011783,0.000236,1.4126660000000006,1.4155719999999996
104,0.013319,0.012991,0.000328,1.4259850000000007,1.4285629999999996
105,0.013452,0.013318,0.000134,1.4394370000000007,1.4418809999999995
106,0.011963,0.011893,7e-05,1.4514000000000007,1.4537739999999995
107,0.012111,0.011842,0.000269,1.4635110000000007,1.4656159999999994
108,0.01207,0.011876,0.000194,1.4755810000000007,1.4774919999999994
109,0.013948,0.013868,8e-05,1.4895290000000008,1.4913599999999994
110,0.014411,0.014428,-1.7e-05,1.5039400000000007,1.5057879999999995
111,0.014669,0.01455,0.000119,1.5186090000000008,1.5203379999999995
112,0.011997,0.011912,8.5e-05,1.5306060000000008,1.5322499999999994
113,0.011979,0.011888,9.1e-05,1.5425850000000008,1.5441379999999993
114,0.011958,0.011989,-3.1e-05,1.5545430000000007,1.5561269999999994
115,0.011964,0.011974,-1e-05,1.5665070000000008,1.5681009999999993
116,0.011992,0.011962,3e-05,1.5784990000000008,1.5800629999999993
117,0.013846,0.013573,0.000273,1.5923450000000008,1.5936359999999994
118,0.01195,0.011767,0.000183,1.6042950000000007,1.6054029999999995
119,0.011924,0.011868,5.6e-05,1.6162190000000007,1.6172709999999995
120,0.013764,0.01347,0.000294,1.6299830000000008,1.6307409999999996
121,0.011833,0.011681,0.000152,1.6418160000000008,1.6424219999999996
122,0.011844,0.011769,7.5e-05,1.6536600000000008,1.6541909999999995
123,0.011825,0.011844,-1.9e-05,1.6654850000000008,1.6660349999999995
124,0.011881,0.01172,0.000161,1.6773660000000008,1.6777549999999994
125,0.011922,0.011685,0.000237,1.6892880000000008,1.6894399999999994
126,0.011806,0.01158,0.000226,1.7010940000000008,1.7010199999999993
127,0.011911,0.011667,0.000244,1.7130050000000008,1.7126869999999994
