Batch Index,Time
0,0.234881
1,0.067075
2,0.050479
3,0.011804
4,0.011464
5,0.011543
6,0.011192
7,0.011843
8,0.01126
9,0.011269
10,0.011211
11,0.011356
12,0.011293
13,0.011672
14,0.01115
15,0.011297
16,0.011649
17,0.011136
18,0.011344
19,0.011148
20,0.011289
21,0.011273
22,0.011405
23,0.011345
24,0.01119
25,0.011505
26,0.011277
27,0.011231
28,0.011534
29,0.011212
30,0.011246
31,0.011419
32,0.011329
33,0.011272
34,0.01141
35,0.011262
36,0.011276
37,0.011378
38,0.011306
39,0.011337
40,0.011461
41,0.011271
42,0.011299
43,0.01146
44,0.01141
45,0.015834
46,0.011278
47,0.011396
48,0.011255
49,0.011396
50,0.011359
51,0.011345
52,0.011589
53,0.011281
54,0.011355
55,0.01142
56,0.011334
57,0.011541
58,0.011437
59,0.011352
60,0.011391
61,0.011356
62,0.011517
63,0.011387
64,0.01161
65,0.011749
66,0.011771
67,0.011501
68,0.01165
69,0.011397
70,0.011334
71,0.011578
72,0.0113
73,0.011414
74,0.011386
75,0.011352
76,0.011434
77,0.011306
78,0.011459
79,0.011483
80,0.011346
81,0.011584
82,0.050743
83,0.011543
84,0.011601
85,0.011301
86,0.011399
87,0.011342
88,0.011397
89,0.011544
90,0.011325
91,0.011605
92,0.011375
93,0.011643
94,0.011344
95,0.011529
96,0.011349
97,0.011415
98,0.011488
99,0.011393
100,0.011808
101,0.011566
102,0.011924
103,0.011308
104,0.053558
105,0.055953
106,0.012141
107,0.011355
108,0.011428
109,0.051515
110,0.058612
111,0.055558
112,0.011541
113,0.011469
114,0.011555
115,0.011376
116,0.011626
117,0.012938
118,0.011311
119,0.011434
120,0.056349
121,0.011404
122,0.011403
123,0.011192
124,0.011282
125,0.011384
126,0.011283
127,0.011181
128,0.0113
129,0.011356
130,0.011223
131,0.011219
132,0.011334
133,0.011335
134,0.011275
135,0.01147
136,0.011281
137,0.011239
138,0.011448
139,0.011284
140,0.011246
141,0.011369
142,0.011361
143,0.011394
144,0.011408
145,0.011271
146,0.011295
147,0.011436
148,0.011296
149,0.011275
150,0.01137
151,0.011281
152,0.011361
153,0.01139
154,0.011343
155,0.011519
156,0.011343
157,0.011326
158,0.011374
159,0.011317
160,0.011358
161,0.011395
162,0.011321
163,0.011386
164,0.011385
165,0.011368
166,0.01141
167,0.011311
168,0.011371
169,0.011461
170,0.011458
171,0.011572
172,0.011361
173,0.011516
174,0.011327
175,0.011512
176,0.011446
177,0.011383
178,0.011415
179,0.011403
180,0.011534
181,0.011365
182,0.011436
183,0.01137
184,0.011418
185,0.01146
186,0.011374
187,0.011535
188,0.012791
189,0.01456
190,0.011653
191,0.011476
192,0.011456
193,0.054818
194,0.011532
195,0.01155
196,0.011261
197,0.011355
198,0.011432
199,0.011377
200,0.011618
201,0.011815
202,0.011358
203,0.011341
204,0.011388
205,0.011328
206,0.011359
207,0.012915
208,0.011383
209,0.011343
210,0.011392
211,0.011307
212,0.011412
213,0.011409
214,0.01138
215,0.055707
216,0.011523
217,0.011529
218,0.011413
219,0.011494
220,0.011334
221,0.011363
222,0.011393
223,0.080819
224,0.070621
225,0.01158
226,0.011415
227,0.077909
228,0.011511
229,0.011472
230,0.01143
231,0.011366
232,0.011468
233,0.011519
234,0.011548
235,0.011296
236,0.011395
237,0.011379
238,0.011269
239,0.011376
240,0.01144
241,0.011435
242,0.011548
243,0.011322
244,0.011825
245,0.01132
246,0.011406
247,0.065841
248,0.011389
249,0.011307
250,0.01134
251,0.011349
252,0.011235
253,0.011463
254,0.011285
255,0.011359
256,0.011446
257,0.011264
258,0.011509
259,0.011288
260,0.011385
261,0.011512
262,0.011329
263,0.011521
264,0.011296
265,0.011367
266,0.01142
267,0.011316
268,0.011522
269,0.011389
270,0.011319
271,0.011479
272,0.055333
273,0.011508
274,0.011365
275,0.011313
276,0.011379
277,0.0114
278,0.011447
279,0.01134
280,0.014905
281,0.011401
282,0.011467
283,0.011347
284,0.011474
285,0.01141
286,0.011341
287,0.011479
288,0.011347
289,0.011604
290,0.011395
291,0.011496
292,0.060758
293,0.011551
294,0.01153
295,0.011375
296,0.011507
297,0.011384
298,0.011393
299,0.011494
300,0.011372
301,0.011861
302,0.011369
303,0.011463
304,0.011498
305,0.061045
