Batch Index,inference(ms),cuda_graph(ms),diff,inference sum,cuda graph sum
84,0.018254,0.0119,0.006354,1.8503439999999998,1.5407300000000004
85,0.020519,0.011897,0.008622,1.8708629999999997,1.5526270000000004
86,0.018848,0.012251,0.006597,1.8897109999999997,1.5648780000000004
87,0.019193,0.012098,0.007095,1.9089039999999997,1.5769760000000004
88,0.018792,0.012271,0.006521,1.9276959999999996,1.5892470000000003
89,0.018888,0.011558,0.00733,1.9465839999999996,1.6008050000000003
90,0.018682,0.01094,0.007742,1.9652659999999997,1.6117450000000002
91,0.018805,0.011372,0.007433,1.9840709999999997,1.6231170000000001
92,0.019084,0.011005,0.008079,2.0031549999999996,1.634122
93,0.019882,0.010991,0.008891,2.0230369999999995,1.645113
94,0.018476,0.011001,0.007475,2.0415129999999997,1.656114
95,0.01925,0.010912,0.008338,2.0607629999999997,1.6670260000000001
96,0.018673,0.010918,0.007755,2.079436,1.677944
97,0.018728,0.010912,0.007816,2.0981639999999997,1.6888560000000001
98,0.018923,0.011729,0.007194,2.1170869999999997,1.7005850000000002
99,0.018555,0.012122,0.006433,2.135642,1.7127070000000002
100,0.020018,0.011327,0.008691,2.1556599999999997,1.7240340000000003
101,0.018862,0.010934,0.007928,2.1745219999999996,1.7349680000000003
102,0.018975,0.010949,0.008026,2.193497,1.7459170000000004
103,0.018492,0.011061,0.007431,2.211989,1.7569780000000004
104,0.022096,0.069063,-0.046967,2.234085,1.8260410000000005
105,0.024221,0.077762,-0.053541,2.2583059999999997,1.9038030000000004
106,0.01857,0.012857,0.005713,2.2768759999999997,1.9166600000000003
107,0.019422,0.011398,0.008024,2.2962979999999997,1.9280580000000003
108,0.018527,0.017023,0.001504,2.314825,1.9450810000000003
109,0.019529,0.0577,-0.038171,2.334354,2.002781
110,0.034962,0.085271,-0.050309,2.369316,2.0880520000000002
111,0.024086,0.086924,-0.062838,2.393402,2.174976
112,0.024802,0.013991,0.010811,2.4182040000000002,2.188967
113,0.025076,0.012801,0.012275,2.44328,2.201768
114,0.023737,0.01274,0.010997,2.4670170000000002,2.214508
115,0.024854,0.01277,0.012084,2.491871,2.227278
116,0.023852,0.012708,0.011144,2.5157230000000004,2.239986
117,0.023451,0.08209,-0.058639,2.5391740000000005,2.322076
118,0.022959,0.012849,0.01011,2.5621330000000007,2.334925
119,0.023188,0.012544,0.010644,2.585321000000001,2.3474690000000002
120,0.023366,0.078817,-0.055451,2.608687000000001,2.426286
121,0.022223,0.012893,0.00933,2.630910000000001,2.439179
122,0.022023,0.012497,0.009526,2.652933000000001,2.4516760000000004
123,0.022485,0.012243,0.010242,2.675418000000001,2.463919
124,0.023105,0.012308,0.010797,2.698523000000001,2.476227
125,0.023998,0.012467,0.011531,2.7225210000000013,2.488694
126,0.022697,0.012329,0.010368,2.7452180000000013,2.501023
127,0.023059,0.011933,0.011126,2.768277000000001,2.512956
128,0.023094,0.01128,0.011814,2.791371000000001,2.524236
129,0.023,0.011327,0.011673,2.8143710000000013,2.5355630000000002
130,0.024858,0.01128,0.013578,2.8392290000000013,2.5468430000000004
131,0.024569,0.011346,0.013223,2.8637980000000014,2.5581890000000005
132,0.02342,0.011369,0.012051,2.8872180000000016,2.5695580000000007
133,0.02338,0.011348,0.012032,2.9105980000000016,2.5809060000000006
134,0.023652,0.011329,0.012323,2.9342500000000014,2.5922350000000005
135,0.023704,0.011366,0.012338,2.9579540000000013,2.6036010000000007
136,0.024354,0.01205,0.012304,2.9823080000000015,2.6156510000000006
137,0.023094,0.012178,0.010916,3.0054020000000015,2.6278290000000006
138,0.023256,0.012367,0.010889,3.0286580000000014,2.6401960000000004
139,0.02362,0.012393,0.011227,3.0522780000000016,2.6525890000000003
140,0.023894,0.012324,0.01157,3.0761720000000015,2.6649130000000003
141,0.023713,0.012389,0.011324,3.0998850000000013,2.6773020000000005
142,0.024447,0.012254,0.012193,3.124332000000001,2.6895560000000005
143,0.02327,0.012362,0.010908,3.1476020000000013,2.7019180000000005
